id,trade_event_id,process_order,trade_date,title,from_team_abbr,to_team_abbr,pick_year,pick_round,original_team_abbr,previous_owner_abbr,new_owner_abbr,owner_chain_ok,pick_label
1,114,1,2024-01-01,Royals quit Fitterer-ing around and make Adames big trade with New York,NYM,KC,2026,7,NYM,NYM,KC,1,2026 7.NYM
2,106,2,2024-01-01,"Rays continue to shed salary. BNSL Dodgers defer cost. Art, life.",LAD,TB,2026,2,LAD,LAD,TB,1,2026 2.LAD
3,106,3,2024-01-01,"Rays continue to shed salary. BNSL Dodgers defer cost. Art, life.",LAD,TB,2026,10,LAD,LAD,TB,1,2026 10.LAD
4,105,4,2024-01-01,"Birds of a feather, trade together.",TOR,STL,2026,5,TOR,TOR,STL,1,2026 5.TOR
5,104,5,2024-01-01,Ramon is movin' on up to the East side,NYM,CHC,2026,8,NYM,NYM,CHC,1,2026 8.NYM
6,103,6,2024-01-01,Kansas City trades everything but the BBQ for MAJOR help from Tampa,KC,TB,2026,2,KC,KC,TB,1,2026 2.KC
7,97,7,2024-01-01,"This House comes with a Loft(in), a Butler, and more!",TEX,TOR,2026,10,TEX,TEX,TOR,1,2026 10.TEX
8,96,8,2024-01-01,Black Monday in New York brings Bregman to Miami,MIA,NYM,2026,2,MIA,MIA,NYM,1,2026 2.MIA
9,94,9,2024-01-01,This trade is for the birds!,TOR,BAL,2026,9,TOR,TOR,BAL,1,2026 9.TOR
10,94,10,2024-01-01,This trade is for the birds!,BAL,TOR,2026,4,BAL,BAL,TOR,1,2026 4.BAL
11,91,11,2024-01-01,Cubs move assets for strong RP return from Nats,CHC,WAS,2026,10,CHC,CHC,WAS,1,2026 10.CHC
12,85,12,2024-01-01,Pick to the Rays for Giant bag of cash,SF,TB,2026,4,SF,SF,TB,1,2026 4.SF
13,80,13,2024-01-01,A Real Royal Homecoming,KC,TB,2026,5,KC,KC,TB,1,2026 5.KC
14,60,14,2024-07-19,All Your Pick Are Belong to Mark,TB,MIN,2026,10,TB,TB,MIN,1,2026 10.TB
