id,pick_label,round,pick,team,player_id,name,position,dob,franchise,mlbamid,mlb_org,fg_30,fg_fv,mlb_30,mlb_fv,fg100,mlb100,drafted_at
1,1.01,1,1,"New York Mets",1049,"Cam Schlittler",P,2001-02-05,"New York Mets",693645,"New York Yankees",,,,,,,2025-10-17T19:57:07
2,1.02,1,2,"Seattle Mariners",3704,"Eli Willits",SS,2007-12-09,"Seattle Mariners",816113,"Washington Nationals",2,50,1,60,27,15,2025-10-18T21:13:40
3,1.03,1,3,"Texas Rangers",3629,"Ethan Holliday",SS,2007-02-23,"Texas Rangers",815787,"Colorado Rockies",1,55,1,60,21,19,2025-10-18T23:20:07
4,1.04,1,4,"New York Yankees",2284,"Aiva Arquette",SS,2003-10-17,"New York Yankees",804109,"Miami Marlins",2,50,2,55,37,41,2025-10-19T01:50:45
5,1.05,1,5,"Tampa Bay Rays",4842,"Josuar Gonzalez",SS,2007-10-16,"Tampa Bay Rays",829034,"San Francisco Giants",2,50,2,55,28,82,2025-10-19T12:53:45
6,1.06,1,6,"Minnesota Twins",2726,"Kade Anderson",P,2004-07-06,"Minnesota Twins",807739,"Seattle Mariners",2,50,2,55,34,23,2025-10-19T12:57:49
7,1.07,1,7,"Los Angeles Angels",3641,"Seth Hernandez",P,2006-06-28,"Los Angeles Angels",815825,"Pittsburgh Pirates",5,47,3,55,125,27,2025-10-20T20:21:21
8,1.08,1,8,"Milwaukee Brewers",1533,"Jamie Arnold",P,2004-03-21,"Milwaukee Brewers",701364,Athletics,3,45,2,55,,38,2025-10-21T04:51:39
9,1.09,1,9,"Washington Nationals",4417,"Liam Doyle",P,2004-06-03,"Washington Nationals",824604,"St. Louis Cardinals",2,55,2,55,19,36,2025-10-20T21:44:49
10,1.10,1,10,"Pittsburgh Pirates",4698,"JoJo Parker",SS,2006-08-08,"Pittsburgh Pirates",828098,"Toronto Blue Jays",5,45,2,55,,43,2025-10-20T21:44:51
11,1.11,1,11,"Philadelphia Phillies",2341,"Kyson Witherspoon",P,2004-08-12,"Philadelphia Phillies",804817,"Boston Red Sox",3,50,4,55,66,89,2025-10-21T09:36:02
12,1.12,1,12,"Atlanta Braves",3634,"Billy Carlson",SS,2006-07-29,"Atlanta Braves",815814,"Chicago White Sox",4,47,3,55,125,71,2025-10-21T11:21:48
13,1.13,1,13,"Chicago White Sox",2262,"Tyler Bremner",P,2004-04-20,"Chicago White Sox",803285,"Los Angeles Angels",1,50,1,55,67,91,2025-10-21T13:58:58
14,1.14,1,14,"Baltimore Orioles",3597,"Kayson Cunningham",SS,2006-06-25,"Baltimore Orioles",815617,"Arizona Diamondbacks",2,50,3,50,75,,2025-10-21T15:12:07
15,1.15,1,15,"Arizona Diamondbacks",4690,"Dax Kilby",SS,2006-11-17,"Arizona Diamondbacks",828076,"New York Yankees",4,45,7,50,,,2025-10-21T15:22:00
16,1.16,1,16,"Cleveland Guardians",1093,"Trey Gibson",P,2002-05-18,"Cleveland Guardians",694346,"Baltimore Orioles",2,50,12,45,52,,2025-10-21T15:39:31
17,1.17,1,17,"Boston Red Sox",379,"Shane Smith",P,2000-04-04,"Boston Red Sox",681343,"Milwaukee Brewers",,,,,,,2025-10-21T16:04:56
18,1.18,1,18,"Cincinnati Reds",1434,"Brandon Clarke",P,2003-04-10,"Cincinnati Reds",700251,"Boston Red Sox",4,50,5,50,85,,2025-10-21T17:50:00
19,1.19,1,19,"Oakland Athletics",3419,"Wehiwa Aloy",SS,2004-02-04,"Oakland Athletics",814450,"Baltimore Orioles",4,47,5,50,125,,2025-10-21T17:59:22
20,1.20,1,20,"San Diego Padres",4841,"Elian Peña",SS,2007-10-19,"San Diego Padres",829033,"New York Mets",9,45,10,45,,,2025-10-21T19:29:02
21,1.21,1,21,"Los Angeles Dodgers",4501,"Nate George",OF,2006-06-04,"Los Angeles Dodgers",825582,"Baltimore Orioles",39,40,8,45,,,2025-10-21T19:32:29
22,1.22,1,22,"St. Louis Cardinals",4881,"Kevin Defrank",P,2008-08-11,"St. Louis Cardinals",829074,"Miami Marlins",12,45,9,45,,,2025-10-21T21:33:46
23,1.23,1,23,"Toronto Blue Jays",2518,"Gage Wood",P,2003-12-15,"Toronto Blue Jays",805906,"Philadelphia Phillies",7,45,4,50,,,2025-10-22T00:49:23
24,1.24,1,24,"Colorado Rockies",3513,"Marcus Phillips",P,2004-07-26,"Colorado Rockies",815071,"Boston Red Sox",7,47,12,45,125,,2025-10-22T05:17:56
25,1.25,1,25,"Kansas City Royals",4845,"Kevin Alvarez",OF,2008-01-13,"Kansas City Royals",829037,"Houston Astros",2,47,8,45,125,,2025-10-22T12:32:33
26,1.26,1,26,"Chicago Cubs",1349,"Esmerlyn Valdez",OF,2004-01-27,"Chicago Cubs",699013,"Pittsburgh Pirates",59,35,15,45,,,2025-10-22T13:49:10
27,1.27,1,27,"Miami Marlins",4906,"Steele Hall",SS,2007-07-24,"Miami Marlins",829162,"Cincinnati Reds",9,42,4,55,,79,2025-10-22T14:39:37
28,1.28,1,28,"San Francisco Giants",4731,"Ethan Conrad",OF,2004-07-05,"San Francisco Giants",828255,"Chicago Cubs",6,45,6,50,,,2025-10-22T18:24:08
29,1.29,1,29,"Houston Astros",4507,"Juan Sanchez",SS,2007-09-27,"Houston Astros",825646,"Toronto Blue Jays",22,40,19,45,,,2025-10-22T20:27:56
30,1.30,1,30,"Detroit Tigers",1726,"Jace LaViolette",OF,2003-12-04,"Detroit Tigers",702593,"Cleveland Guardians",14,45,7,50,,,2025-10-24T09:05:25
31,2.01,2,1,"Tampa Bay Rays",5360,"Kendry Chourio",P,2007-10-01,"Tampa Bay Rays",830402,"Kansas City Royals",46,35,8,50,,,2025-10-23T13:42:40
32,2.02,2,2,"Milwaukee Brewers",4729,"Kruz Schoolcraft",P,2007-04-18,"Milwaukee Brewers",828244,"San Diego Padres",7,42,2,55,,95,2025-10-23T19:01:22
33,2.03,2,3,"Texas Rangers",1740,"Andrew Fischer",3B,2004-05-25,"Texas Rangers",702652,"Milwaukee Brewers",9,45,6,50,,,2025-10-23T19:01:22
34,2.04,2,4,"Washington Nationals",1436,"Miguel Mendez",P,2002-07-01,"Washington Nationals",700280,"San Diego Padres",2,47,5,50,125,,2025-10-23T19:01:22
