name,position,last_team,hometown_team,hometown_seasons,seed_qo
Babe Ruth,OF,New York Yankees,New York Yankees,2,1
Jackie Robinson,2B,Brooklyn Dodgers,Los Angeles Dodgers,2,1
Willie Mays,OF,San Francisco Giants,San Francisco Giants,2,1
Hank Aaron,OF,Atlanta Braves,Atlanta Braves,2,1
Ted Williams,OF,Boston Red Sox,Boston Red Sox,2,1
Sandy Koufax,SP,Los Angeles Dodgers,Los Angeles Dodgers,2,1
Nolan Ryan,SP,Texas Rangers,Texas Rangers,2,0
Cal Ripken Jr.,SS,Baltimore Orioles,Baltimore Orioles,2,0
Ken Griffey Jr.,OF,Seattle Mariners,Seattle Mariners,2,0
Mariano Rivera,RP,New York Yankees,New York Yankees,2,0
Albert Pujols,1B,St. Louis Cardinals,St. Louis Cardinals,2,0
Ichiro Suzuki,OF,Seattle Mariners,Seattle Mariners,2,0
Pedro Martinez,SP,Boston Red Sox,Boston Red Sox,2,0
Roberto Clemente,OF,Pittsburgh Pirates,Pittsburgh Pirates,2,0
Greg Maddux,SP,Atlanta Braves,Atlanta Braves,1,0
Tony Gwynn,OF,San Diego Padres,San Diego Padres,2,0
Barry Bonds,OF,San Francisco Giants,San Francisco Giants,2,0
